symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d,explosion_score,explosion_label
WAXPUSDT,WAXP,Speculative,847,0.00426,962928.68444,4.668,60.41335108567692,5.4017145871691335e-05,0.003910999999999999,0.005527749999999999,0.7860373856641918,0.425531914893617,0.30114566284779043,5.567258498541819,0.5101544776696771,0.003682777777777778,0.005073888888888889,morning_star_4h,1,0,haussier,365,0,0,30,,,17.0,84.0,68.5,57.5,52.1,75,33.48,33,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×5.6 vs médiane,,5.57,75,0,,,19927232,19927232,4669099131.81496,4669099131.81496,,100.0,,,,16,🔥 Fort
TRXUSDT,TRX,Etabli,8,0.3379,37419826.57679,0.775,56.004026143431894,8.420894291655788e-06,0.33088400000000007,0.322176,0.14239490709890001,0.10273192942515642,0.03813318155947629,1.004935903120986,0.571366430412388,0.31880833333333336,0.33981944444444445,uptrend,1,0,haussier,365,0,0,30,,,45.0,91.0,100.0,78.5,53.1,74,56.98,32,🟢 Surperforme BTC,False,False,,0,,,,74,2,,Près du plus haut 90j (résistance),32091541371,32091554913,94922261731.60959,94922334470.43478,,100.0,,,,7,⚡ Modéré
ALTUSDT,ALT,Mid,487,0.00656,959900.69023,4.459,58.16228542299906,4.241495822596994e-05,0.006141399999999999,0.006864800000000001,0.5568909121437389,0.19428571428571428,0.06428571428571427,1.530122216396219,0.44995544952808436,0.0056458333333333326,0.006839722222222223,double_bottom_90d|uptrend|bullish_engulfing_4h,3,0,haussier,365,0,0,30,,,31.0,84.0,100.0,57.5,62.5,74,45.51,32,🟢 Surperforme BTC,False,False,,0,,,,74,0,,,46717305,65555369,7126388885.0,10000000000.0,10000000000.0,71.3,,,,10,🔥 Fort
RAREUSDT,RARE,Speculative,,0.01326,1699741.740096,6.421,59.57059150080437,8.034913950830527e-05,0.0124276,0.014894900000000006,0.7389444501927099,0.3012121212121212,0.1945454545454546,5.114751195020865,0.47497153895330635,0.011741944444444449,0.014598055555555557,squeeze_breakout|uptrend|bullish_engulfing_4h,3,0,haussier,365,0,0,30,,,17.0,84.0,73.0,68.0,61.6,74,35.16,32,🟢 Surperforme BTC,False,False,,0,,,,74,0,,,,,,,,,,,,15,🔥 Fort
MORPHOUSDT,MORPHO,Etabli,52,2.586,4786545.19244,6.114,63.921323570539265,0.04716044328898922,2.0785799999999997,1.884484999999999,1.0287054625099707,0.24633699633699643,0.10843373493975902,1.690192649464713,0.32633992243217286,1.7608055555555555,2.3223055555555554,double_bottom_90d,1,0,haussier,329,0,0,30,,,44.0,100.0,74.5,68.0,54.8,73,55.13,31,🟢 Surperforme BTC,False,False,,0,,,,73,0,,,1700125472,2586906193,657204144.7078563,1000000000.0,1000000000.0,65.7,9462539784,$9.5B,9.2,8,⚡ Modéré
GMXUSDT,GMX,Mid,311,7.76,240976.81562,5.578,64.86084325028409,0.06992951820733706,6.563800000000001,6.4434499999999995,0.7018664222096476,0.23775216138328534,0.022784810126582355,1.0264317015441313,0.5805091937343868,5.44138888888889,7.139166666666666,golden_cross|uptrend,2,0,haussier,365,0,0,30,,,31.0,91.0,89.5,47.0,57.4,73,44.57,31,🟢 Surperforme BTC,False,False,,0,,,,73,2,,Près du plus haut 90j (résistance),80621257,80621257,10453809.5416824,10453809.5416824,13250000.0,100.0,208152730,$208M,4.98,9,🔥 Fort
HEMIUSDT,HEMI,Speculative,,0.00881,12463198.450081,14.267,61.74052463804927,3.771318695217649e-05,0.005662799999999998,0.0069002,1.9519920854430413,0.4223433242506812,0.13385826771653545,5.925936821240055,0.3554413762348525,0.004377777777777777,0.008128333333333335,uptrend,1,0,haussier,339,0,0,30,,,16.3,84.0,52.0,78.5,53.1,73,33.74,31,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×5.9 vs médiane,,5.93,73,0,,,,,,,,,44484689,$44M,10.79,11,🔥 Fort
OGNUSDT,OGN,Speculative,,0.01873,927248.43758,1.793,63.04150107892129,0.00020685134219525307,0.016657399999999996,0.019908850000000006,0.5273506944347089,0.32886836027713623,0.13625866050808305,2.0833192101939146,0.45182867504843016,0.015163055555555555,0.019917499999999998,uptrend,1,0,haussier,365,0,0,30,,,17.0,84.0,83.5,57.5,53.1,73,34.43,31,🟢 Surperforme BTC,False,False,,0,,,,73,0,,,,,,,,,63918190,$64M,8.15,13,🔥 Fort
EULUSDT,EUL,Speculative,601,1.438,2066694.08429,1.125,59.01732848598196,0.02600921736269924,1.2490199999999998,1.1309249999999997,1.0652970040800402,0.5154819014391627,0.3763628434365461,2.1973739882003076,0.3218491340591069,0.9206666666666666,1.577805555555556,,0,0,neutre,319,0,0,30,,,15.7,100.0,49.0,68.0,50,72,34.08,30,🟢 Surperforme BTC,False,False,,0,,,,72,0,,,34352951,38884460,24014992.63484756,27182818.28459,27182818.0,88.3,376038895,$376M,1.58,13,🔥 Fort
LSKUSDT,LSK,Speculative,773,0.0973,869069.87661,-4.608,62.447100386022434,0.0021850494465127488,0.082246,0.11018099999999995,0.8557686468238601,0.37631578947368427,0.14912280701754385,4.565043658381083,0.47681284026608156,0.07428888888888889,0.10307222222222226,uptrend,1,0,haussier,365,0,0,30,,,17.0,84.0,73.0,57.5,53.1,72,33.8,30,🟢 Surperforme BTC,False,False,,0,,,,72,0,,,22640976,38854505,233084697.0,400000000.0,400000000.0,58.3,,,,14,🔥 Fort
