symbol,tier,rank_mcap,score_explosif,score_momentum,score_signal,score_catalysts,price,vol_24h_usd,change_24h_pct,rsi_14,vol_ratio,drawdown_90d,ma_50,ma_200,patterns_bull,patterns_bear,catalyst_score,trending_rank,vol_spike,support_90d,resistance_90d,exit_risk,exit_label,exit_reasons
REZUSDT,Speculative,648,76.38,92.5,67.2,60.0,0.003466,9695775.105422,10.558,70.8557524557869,21.455559253617484,0.3033741415347865,0.0028179000000000004,0.003459725000000001,breakout_30d|squeeze_breakout|uptrend,,0,,21.46,0.002463861111111111,0.00330986111111111,2,✅ OK,Près résistance 90j
SAHARAUSDT,Speculative,582,71.2,88.0,55.0,60.0,0.00984,28414541.3287,2.075,62.027159040353006,18.30570348714352,0.5232177894048398,0.0083728,0.018956349999999993,uptrend,,0,,18.31,0.007720833333333334,0.013162222222222221,0,✅ OK,
NEWTUSDT,Speculative,,70.78,83.5,62.2,60.0,0.04498,4794894.634837,0.829,59.381174050689324,9.742350199294377,0.3406593406593407,0.04094779999999999,0.058856449999999984,squeeze_breakout|uptrend,,0,,9.74,0.038381111111111116,0.05255166666666666,0,✅ OK,
SCUSDT,Speculative,519,69.7,88.0,55.0,60.0,0.000832,7150143.823429,2.337,60.16321220490105,6.022018497740805,0.3915989159891599,0.0005894600000000001,0.0008030349999999996,uptrend,,0,,6.02,0.00048219444444444443,0.0007813611111111111,0,✅ OK,
ANIMEUSDT,Speculative,922,69.7,88.0,55.0,60.0,0.00312,5412625.744788,2.295,68.56819738520213,24.107687813568763,0.22549019607843127,0.0026208000000000004,0.0036925499999999993,uptrend,,0,,24.11,0.0024130555555555554,0.003036944444444444,2,✅ OK,Près résistance 90j
LSKUSDT,Speculative,733,66.9,83.5,55.0,60.0,0.1084,1613225.5755,-1.455,60.35389950778386,8.599421422963566,0.2515789473684211,0.08702600000000002,0.10749449999999998,uptrend,,0,,8.6,0.07428888888888889,0.10474166666666666,0,✅ OK,
IOSTUSDT,Speculative,545,66.2,80.5,50.0,60.0,0.001096,58009576.605877,-10.676,58.327920811135286,75.21493655823157,0.4156945917285261,0.00064736,0.0009008599999999995,,,0,,75.21,0.0005628055555555555,0.0008896666666666666,0,✅ OK,
ARKUSDT,Speculative,764,64.9,83.5,50.0,60.0,0.116,2788798.4962,-0.939,62.54792160028907,33.17047568184748,0.3116987179487179,0.10170799999999999,0.13895999999999994,,,0,,33.17,0.09119722222222224,0.12123611111111113,0,✅ OK,
CVCUSDT,Speculative,797,64.9,83.5,50.0,60.0,0.02169,1111724.69827,-1.811,64.66291817687329,8.447484638251181,0.29944704381114423,0.019081999999999995,0.025409300000000013,,,0,,8.45,0.017574444444444445,0.022426944444444444,0,✅ OK,
DASHUSDT,Etabli,89,64.41,75.5,61.8,30.0,57.16,29057342.5422,-12.439,61.862761460394424,1.341275169482448,0.2254697286012526,38.461600000000004,37.050100000000015,golden_cross|uptrend,,0,,,30.359444444444435,50.83416666666667,0,✅ OK,
HUMAUSDT,Speculative,533,64.4,83.5,60.0,30.0,0.02312,1780502.86348,-0.645,55.765013975050074,1.911125561386008,0.2851255151742225,0.021087599999999998,0.02056115000000001,macd_bullish_cross|uptrend,,0,,,0.019622222222222225,0.02447972222222222,0,✅ OK,
EGLDUSDT,Mid,205,64.1,79.0,50.0,60.0,5.202,5074204.44304,7.258,74.72947574064469,5.936499601381542,0.23460410557184758,3.3268400000000007,3.5958599999999983,,,0,,5.94,2.591388888888889,4.252138888888889,4,⚠️ Surveiller,RSI 75 surachat|Près résistance 90j
XECUSDT,Mid,215,63.9,87.2,55.0,30.0,7.3e-06,1088648.95981291,-0.409,56.857453473598724,2.3560369988922507,0.31958762886597936,6.815e-06,6.708749999999999e-06,uptrend,,0,,,5.1338888888888895e-06,7.765277777777779e-06,0,✅ OK,
IQUSDT,Speculative,804,63.88,92.5,38.5,60.0,0.000792,1553304.269753,3.937,58.77560017601641,7.685812555055615,0.28537170263788975,0.0006812200000000001,0.0009166999999999994,uptrend,double_top_90d,0,,7.69,0.000632361111111111,0.0008275555555555558,2,✅ OK,Double sommet
SOPHUSDT,Speculative,911,63.8,74.5,50.0,60.0,0.00434,12200169.86657,-19.03,51.77785213035271,26.858797795124772,0.4397993311036789,0.003982599999999999,0.0065558999999999965,,,0,,26.86,0.0036205555555555552,0.005669999999999998,0,✅ OK,
VETUSDT,Etabli,93,63.7,84.2,55.0,30.0,0.007881,3901562.5794575,2.046,70.98402569948395,2.659729317156655,0.17011189076427086,0.005516180000000001,0.006110189999999998,uptrend,,0,,,0.004460416666666666,0.006882611111111114,2,✅ OK,Près résistance 90j
ORCAUSDT,Mid,306,63.2,80.5,60.0,30.0,1.401,2248698.86661,-3.045,60.03160201174593,1.992810828165855,0.18888888888888888,1.1879599999999997,1.1613549999999997,macd_bullish_cross|uptrend,,0,,,1.0589444444444445,1.3500833333333333,0,✅ OK,
ETHFIUSDT,Etabli,95,63.0,82.5,55.0,30.0,0.6426,5330761.22678,4.2,67.61900338676642,0.7889519853228025,0.22933794893985285,0.4887879999999999,0.4449929999999999,macd_bullish_cross,,0,,,0.33514722222222226,0.590913888888889,2,✅ OK,Près résistance 90j
BTCUSDT,Etabli,1,62.36,68.5,61.8,35.0,77864.01,1094875390.6599405,-1.897,57.659981401654335,0.40432480796273573,0.11614919867315443,70464.725,70004.15734999998,golden_cross|uptrend,,0,9,,61084.485277777785,79019.9902777778,5,⚠️ Surveiller,Volume ×0.4 épuisé|Près résistance 90j
RAYUSDT,Mid,125,62.28,82.0,38.7,60.0,1.3473,26690214.8819,2.402,80.35590744533513,12.122211775041269,0.1866883116883117,0.7430360000000001,0.6854854999999997,uptrend,rsi_bearish_divergence,0,,12.12,0.5967250000000001,0.9310749999999999,8,🔴 Sortie,RSI 80 extrême|Près résistance 90j|Div RSI
