symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,categories
USDEUSDT,USDE,Etabli,20,0.9999,8767751.7246,0.04,53.751790679103955,1.0476351732229825e-05,0.9996659999999999,0.9995654999999999,0.004268443968817958,0.0011996401079675887,0.0003998800359891592,2.083978527136721,0.2620585130555034,0.998975,1.0002083333333334,macd_bullish_cross|macd_bearish_cross|support_bounce|resistance_test,2,2,mixte,222,0,0,60,,,41.1,100.0,94.0,84.5,50.0,76.72,False,Stablecoins|USD Stablecoin|BNB Chain Ecosystem|Solana Ecosystem|Avalanche Ecosystem
TRXUSDT,TRX,Etabli,8,0.3298,35495575.46831,1.259,72.076921959033,0.00033105024292806075,0.306706,0.297299,0.1916239904409601,0.13562039115100996,0.0,0.4864629321774968,0.44251033032284864,0.2785638888888889,0.32098611111111114,macd_bullish_cross|resistance_test,1,1,mixte,3155,0,0,70,24,12,78.0,64.0,100.0,86.5,50.0,74.6,False,Smart Contract Platform|Layer 1 (L1)|Alleged SEC Securities|FTX Holdings|DWF Labs Portfolio
NEARUSDT,NEAR,Etabli,46,1.369,16660245.2612,-3.997,56.45871780083151,0.009132215079798146,1.29636,1.67941,0.5286728214292872,0.3976205385097057,0.1346274264245461,0.5142230763411052,0.7865331238525652,1.008,1.478388888888889,bull_flag,1,0,haussier,365,0,0,70,100,18,70.0,66.0,75.5,86.5,62.5,71.8,False,Artificial Intelligence (AI)|Smart Contract Platform|Layer 1 (L1)|Near Protocol Ecosystem|Alleged SEC Securities
ONTUSDT,ONT,Mid,325,0.08068,14960354.48654,2.075,56.345776659109895,-0.00208784719444714,0.061882400000000004,0.0689006,2.3759238121577417,0.35754098360655734,0.25543526885568574,14.224179186781766,0.3978998509217253,0.04069388888888889,0.09057583333333334,double_bottom_90d|uptrend|bullish_engulfing_4h,3,0,haussier,2973,0,0,60,0,0,41.0,84.0,52.0,84.5,87.5,71.22,False,Smart Contract Platform|Masternodes|Proof of Stake (PoS)|Made in China
JSTUSDT,JST,Etabli,93,0.07091,4358464.311186,7.472,57.432099227653914,-0.00045377079668247307,0.0594776,0.0439293,0.920350083583618,0.17961042246395148,0.10473058436630418,1.0649930162812475,0.027783061931509652,0.04083027777777778,0.06808861111111111,macd_bearish_cross|double_bottom_90d,1,1,mixte,365,0,0,60,,,45.0,91.0,79.0,74.0,50.0,70.45,False,Decentralized Finance (DeFi)|Tron Ecosystem
ETHUSDT,ETH,Etabli,2,2361.04,734543281.568959,-3.215,60.205947386900064,20.640326123489203,2130.385,2867.3059000000003,0.5726798907337036,0.42724522268031545,0.25873555830759826,0.3815968789935429,0.937950996844917,1917.2766666666669,2781.9866666666667,double_bottom_90d,1,0,haussier,3915,0,0,70,79,37,80.0,57.0,69.5,86.5,62.5,70.2,False,Smart Contract Platform|Layer 1 (L1)|Ethereum Ecosystem|FTX Holdings|Multicoin Capital Portfolio
XLMUSDT,XLM,Etabli,21,0.1692,9085534.962,-4.407,57.37702983731964,0.0017271929422377212,0.162094,0.2245165,0.5896448692313573,0.3180343069077422,0.21001390820584148,0.8574552717972944,0.8701277802851294,0.15106111111111112,0.1994277777777778,macd_bullish_cross|double_top_90d,1,1,mixte,365,0,0,70,75,8,70.0,66.0,75.5,86.5,50.0,69.92,False,Smart Contract Platform|Real World Assets (RWA)|Stellar Ecosystem|GMCI 30 Index|GMCI Index
LUNCUSDT,LUNC,Mid,163,4.342e-05,2793359.60686056,-6.038,61.18711107446896,8.164814906228843e-07,4.0200599999999996e-05,3.993545e-05,0.6218635993627855,0.20720123702231064,0.049653078924544666,1.0408459834506343,0.6365255349595719,3.408583333333333e-05,4.371833333333334e-05,golden_cross,1,0,haussier,365,0,0,30,,,31.0,91.0,89.5,68.0,62.5,69.9,False,
XRPUSDT,XRP,Etabli,4,1.4319,138234930.57767,-3.886,58.181672060308266,0.016243440001961103,1.383602,1.894013,0.404600248011636,0.3884189325276939,0.27588116817724073,0.5201666107903912,0.9166703592830906,1.3098333333333332,1.8016805555555555,,0,0,neutre,365,0,0,70,80,18,70.0,66.0,69.5,86.5,50,69.02,False,Smart Contract Platform|Layer 1 (L1)|FTX Holdings|Pantera Capital Portfolio|Andreessen Horowitz (a16z) Portfolio
AVAXUSDT,AVAX,Etabli,28,9.38,20345406.8216,-5.061,51.51644781511842,0.05768148852472724,9.315,13.5044,0.6137483590971929,0.34929356357927793,0.26059654631083207,0.5953973649964557,0.8940348447536057,8.618055555555555,11.416111111111112,,0,0,neutre,365,0,0,70,72,17,70.0,66.0,65.0,86.5,50,68.35,False,Smart Contract Platform|Layer 1 (L1)|Avalanche Ecosystem|Proof of Stake (PoS)|DragonFly Capital Portfolio
