symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d
TRXUSDT,TRX,Etabli,8,0.3304,37088782.19019,1.133,63.371375940178055,-0.0003439227517423992,0.318764,0.2968885000000001,0.13138801566605648,0.05767214260747995,0.008105673971780187,0.005967453529121686,0.39542330024239486,0.2785916666666666,0.32758888888888893,resistance_test,0,1,baissier,365,0,0,30,,,45.0,73.0,100.0,78.5,43.5,76.18,False,False,,0,,,,66
CYBERUSDT,CYBER,Speculative,607,0.563,1657606.93817,7.034,60.06235391986898,0.0012016834945317023,0.52446,0.7009499999999997,0.5228956327378711,0.23174603174603178,0.10634920634920644,1.8375054004315643,0.6650064099106389,0.4902222222222222,0.6081944444444445,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,17.0,84.0,95.5,68.0,26.8,73.93,False,False,,0,,,,65
ASTERUSDT,ASTER,Etabli,49,0.684,9058285.98637,4.427,56.72244448476017,0.001956680457542063,0.6726399999999999,0.8007249999999994,0.3252267324597447,0.17460317460317448,0.09523809523809518,0.01233844893643472,0.6390360934561268,0.6096388888888891,0.7310277777777777,macd_bullish_cross,1,0,haussier,210,0,0,30,,,40.8,57.0,100.0,78.5,57.3,70.74,False,False,,0,,,,65
TONUSDT,TON,Etabli,32,1.342,5462241.09572,1.976,52.34592161450572,-0.002328223550424344,1.3063799999999999,1.5591600000000014,0.5636980784557634,0.1987991994663109,0.10540360240160115,0.03419586261107588,0.5506443921543501,1.2240555555555555,1.433361111111111,uptrend,1,0,haussier,365,0,0,30,,,45.0,57.0,95.5,78.5,56.4,69.64,False,False,,0,,,,64
SKYUSDT,SKY,Etabli,44,0.08075,1310937.83888,-0.074,50.6655105095824,-0.0006007229977454055,0.0768598,0.06471785,0.5083521098084908,0.14271665642286427,0.10069289226642829,0.018973511151318963,0.7118278881077849,0.06340277777777777,0.08306138888888889,macd_bearish_cross|uptrend,1,1,mixte,229,0,0,30,,,41.3,73.0,87.5,68.0,26.2,69.25,False,False,,0,,,,60
JSTUSDT,JST,Etabli,83,0.08364,1707267.425387,-3.026,61.48452449346161,-5.0276247629373744e-05,0.06904919999999999,0.04764105000000003,0.9535705864506346,0.17961042246395148,0.06017063313875172,0.024314758124742684,-0.013897785939092754,0.04150555555555555,0.08098694444444446,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,73.0,83.5,68.0,26.2,68.35,False,False,,0,,,,60
EURUSDT,EUR,Speculative,,1.1724,6178634.68834,0.026,53.82225720352535,-0.0005525219271842051,1.1636840000000002,1.1676044999999993,0.06624989089956518,0.04224760624895012,0.015286410213337806,0.0017311919604231908,0.32137909300432166,1.1489222222222222,1.1846638888888892,support_bounce|resistance_test|uptrend,2,1,haussier,365,0,0,30,,,17.0,57.0,100.0,78.5,51.1,67.79,False,False,,0,,,,63
TAOUSDT,TAO,Etabli,36,286.1,30909828.02932,5.572,60.41987547041449,5.156809821612109,279.90999999999997,272.42699999999985,0.9665610977940674,0.3103746397694524,0.17435158501440923,0.007319593507972162,0.5609801400975335,166.31944444444446,320.1111111111112,golden_cross|downtrend,1,1,mixte,365,0,0,30,,,45.0,73.0,73.0,78.5,43.1,67.63,False,False,,0,,,,62
SUNUSDT,SUN,Mid,130,0.01852,327869.81823,1.202,54.7462022817744,-4.7410701240834506e-05,0.0179418,0.019318949999999988,0.2768023068832937,0.18412526997840165,0.024749868351764175,0.025356464972854653,0.5014782163157483,0.01594277777777778,0.018707500000000002,uptrend,1,0,haussier,365,0,0,30,,,31.0,57.0,100.0,47.0,56.4,67.18,False,False,,0,,,,65
ETHUSDT,ETH,Etabli,2,2313.43,202533283.91766,0.806,53.63058679783724,-10.464771723490138,2216.0814,2718.1836000000003,0.5025353675875014,0.18215801443332194,0.04364613476643238,0.006574409639797135,0.9432309541944998,1917.2766666666669,2349.6533333333336,uptrend,1,0,haussier,365,0,0,30,,,45.0,57.0,86.0,78.5,56.4,66.64,False,False,,0,🔥 Trending #9 sur CoinGecko,9,,62
EURIUSDT,EURI,Mid,431,1.1722,364107.93486,0.017,53.65733838053085,-0.0005768661145232265,1.1635959999999999,1.1673614999999997,0.0686414974137032,0.04216007390610567,0.015453094818174345,0.007049397800693658,0.31470929608605047,1.1486361111111114,1.1844638888888888,support_bounce|resistance_test|uptrend,2,1,haussier,365,0,0,30,,,31.0,57.0,100.0,47.0,51.1,66.63,False,False,,0,,,,63
LINKUSDT,LINK,Etabli,18,9.17,11555708.1295,0.88,49.56405626304147,-0.03428243261237336,9.1004,11.677100000000003,0.4874599154955094,0.16543730242360383,0.07560483870967742,0.005373256412496291,0.915155071994426,8.37361111111111,9.550277777777774,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,57.0,86.0,78.5,56.0,66.6,False,False,,0,🔥 Trending #11 sur CoinGecko,11,,62
KAITOUSDT,KAITO,Mid,270,0.4682,1444435.09447,-2.234,62.334476183377085,0.0045020798785396915,0.41236000000000006,0.5455185000000004,0.7654548566302751,0.2090884500946713,0.040147480540762,0.0030953739796468712,0.5402032816324968,0.30596944444444446,0.45095833333333335,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,31.0,57.0,89.5,68.0,63.7,66.31,False,False,,0,,,,65
ETCUSDT,ETC,Etabli,58,8.49,1662782.8855,0.712,50.886975658260646,-0.0006655804325524962,8.416799999999997,11.2403,0.5206476821786522,0.17659352142110765,0.11494252873563214,0.010293277769615534,0.835741926940579,8.014999999999999,9.071944444444446,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,57.0,87.5,68.0,56.0,66.23,False,False,,0,,,,63
XRPUSDT,XRP,Etabli,4,1.3919,46038443.34338,0.368,49.23210861359407,-0.004683297999632203,1.3914780000000004,1.7930324999999994,0.36081178766198246,0.23082768665695652,0.11854854030777028,0.0026965123473520285,0.9153482753954312,1.3098333333333332,1.5013583333333331,double_bottom_90d|uptrend,2,0,haussier,365,0,0,30,,,45.0,57.0,81.5,78.5,62.4,65.85,False,False,,0,,,,63
POLUSDT,POL,Etabli,65,0.0972,3004979.15493,0.83,61.88409493048902,0.0008073286933239427,0.09227399999999998,0.12154500000000006,0.5172413404806709,0.2830850131463628,0.1481156879929886,0.005342720347041442,0.6484697458254661,0.08707500000000003,0.10955555555555556,bull_flag,1,0,haussier,365,0,0,30,,,45.0,57.0,83.5,68.0,62.5,65.65,False,False,,0,,,,63
