symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
RENDERUSDT,RENDER,Etabli,67,2.095,11471363.5334,5.488,64.92254823862834,0.016865988903426485,1.8763200000000004,1.7480499999999992,0.5466217374942224,0.18283764017552423,0.0,0.796834580427212,0.6553597020332292,1.4359166666666665,2.0100833333333337,macd_bullish_cross|resistance_test,1,1,mixte,365,0,0,30,,,45.0,82.0,100.0,78.5,37.3,62.66,False,False,,0,,,,68,1086859532,1117784724,518743261.0140742,533503434.2940742,644245094.0,97.2,,,
ONDOUSDT,ONDO,Etabli,46,0.4296,33710704.33335,-2.408,62.42822133156372,0.0018403572480901083,0.31665600000000005,0.35428900000000013,1.3142828115237672,0.23776843037414214,0.04826212087668804,1.1889764576318307,0.5207475747351591,0.248525,0.4037888888888888,macd_bullish_cross|double_bottom_90d|uptrend,3,0,haussier,365,0,0,30,,,45.0,75.0,79.0,78.5,50,59.7,False,False,,0,🔥 Trending #10 sur CoinGecko,10,,65,2097285461,4307132978,4869330647.0,10000000000.0,10000000000.0,48.7,2695607549,$2.7B,0.06
ASTERUSDT,ASTER,Etabli,48,0.708,21384758.76249,0.0,59.13200994887854,0.003552193950254798,0.6727599999999998,0.75674,0.42922637707203454,0.14417989417989416,0.06349206349206354,0.6550955013148346,0.5154842672750287,0.6486388888888891,0.7233888888888887,uptrend,1,0,haussier,232,0,0,30,,,41.4,66.0,100.0,78.5,50,59.68,False,False,,0,🔥 Trending #13 sur CoinGecko,13,,66,1826892215,5539062546,2579922243.4698935,7822218820.515041,8000000000.0,33.0,161376357,$161M,2.83
LINKUSDT,LINK,Etabli,18,9.576,14247424.54333,-0.343,48.16422839518693,-0.08211617650394072,9.509060000000002,10.884614999999991,0.4346043014438009,0.15120967741935484,0.10597014925373142,0.2679716930958609,0.871527241386043,8.579444444444443,10.108861111111109,,0,0,neutre,365,0,0,30,,,45.0,57.0,87.5,78.5,50,58.7,False,False,,0,,,,61,6960563455,9573048740,727099970.4255477,1000000000.0,1000000000.0,72.7,,,
BTCUSDT,BTC,Etabli,1,77423.59,676568266.2064202,0.15,48.56308063146625,-424.7457541376383,76951.59139999999,80439.35815,0.26383966465004044,0.11849875281549622,0.058222672721237254,0.2178697494698024,1.0,66623.91499999998,80054.21583333332,doji_4h,0,0,neutre,365,0,0,30,,,45.0,57.0,86.0,78.5,50,58.5,False,False,,0,🔥 Trending #12 sur CoinGecko,12,,61,1549676896763,1549676896763,20034078.0,20034078.0,21000000.0,100.0,,,
ZECUSDT,ZEC,Etabli,13,661.21,157151131.58424,3.487,65.13188739149012,2.3375869657467803,446.1474,384.22834999999964,1.3335395933783714,0.2285549174702929,0.01869228256673682,0.2539125629701368,0.5822951117081299,212.17972222222218,593.5691666666665,uptrend|doji_4h,1,0,haussier,365,0,0,30,,,45.0,64.0,79.0,78.5,50,58.38,False,False,,0,🔥 Trending #15 sur CoinGecko,15,,59,11032929216,11032929216,16688225.1655448,16688225.1655448,21000000.0,100.0,,,
PENGUUSDT,PENGU,Etabli,95,0.009108,8311669.323251,-0.978,50.23193599199373,-8.29417119029072e-05,0.008682299999999999,0.009142285,0.8869587353041619,0.24239406012314385,0.1743933357479175,0.22077053436815397,0.6976106929134477,0.006398222222222223,0.01020036111111111,uptrend,1,0,haussier,365,0,0,30,,,45.0,57.0,85.0,78.5,50,58.36,False,False,,1,🔥 Trending #7 sur CoinGecko,7,,62,572700012,724940727,62860396090.0,79570561015.85014,88888888888.0,79.0,,,
SUIUSDT,SUI,Etabli,26,1.0413,62520256.54014,-2.527,48.52198832399844,-0.015144668504927284,1.0033560000000004,1.2426080000000004,0.98432719949555,0.22491557223264547,0.2184615384615384,0.5869283547510862,0.7275127227092508,0.8716194444444442,1.1239888888888891,uptrend|doji_4h,1,0,haussier,365,0,0,30,,,45.0,66.0,77.0,78.5,50,58.34,False,False,,0,,,,62,4177510090,10429647304,4005418369.566699,10000000000.0,10000000000.0,40.1,,,
INJUSDT,INJ,Etabli,100,5.414,9253507.45117,4.135,66.5072493501481,0.012470978456856352,3.9060199999999994,4.282459999999997,0.9095052893848367,0.17542805647341544,0.0,1.0056226486807844,0.5369239147301113,2.846166666666667,4.888861111111112,rsi_bearish_divergence|double_bottom_90d,1,1,mixte,365,0,0,30,,,45.0,66.0,89.5,78.5,20.0,58.26,False,False,,0,,,,54,542534432,542534432,100000000.0,100000000.0,,100.0,14966292,$15M,-2.95
BNBUSDT,BNB,Etabli,4,661.17,46334842.09536,-0.125,57.05982143359742,-0.9553164759485977,635.1511999999999,744.6521000000002,0.23636902528963374,0.14151623486486892,0.02712921687190133,0.280792276315816,0.8643163747274726,600.3544444444444,667.0241666666666,double_top_90d|uptrend,1,1,mixte,365,0,0,30,,,45.0,57.0,92.0,78.5,26.7,57.92,False,False,,0,,,,56,89065739994,89065739994,134784920.0799999,134784920.0799999,200000000.0,100.0,154506644769,$154.5B,0.47
JSTUSDT,JST,Etabli,83,0.09269,1510784.310275,-0.771,61.287200823738786,-0.0002699471932389873,0.08182800000000003,0.05372240000000003,0.46859536496584314,0.17961042246395148,0.0124640460210929,0.2025328906177754,-0.24505087568833503,0.04894777777777779,0.09036555555555557,bull_flag|resistance_test|uptrend|evening_star_4h,2,2,mixte,365,0,0,30,,,45.0,73.0,94.0,68.0,21.2,57.87,False,False,,0,,,,60,790956504,790956504,8543764567.312736,8543764567.312736,9900000000.0,100.0,3578157189,$3.6B,0.81
ATOMUSDT,ATOM,Etabli,65,2.135,3087658.4573,1.715,61.420289040368075,0.003837073089997166,1.9189200000000006,2.1055350000000006,0.46786638749044,0.16784630940343787,0.0,0.759136822361745,0.5035172864027405,1.70175,2.06225,rsi_bearish_divergence|macd_bullish_cross|uptrend,2,1,haussier,365,0,0,30,,,45.0,66.0,100.0,68.0,20.0,57.78,False,False,,0,,,,59,1089065599,1089065599,510455666.458313,510455666.458313,,100.0,,,
TONUSDT,TON,Etabli,22,1.804,20908862.49948,0.445,46.06594047513761,-0.06674167736153754,1.6755599999999995,1.5535000000000017,1.4779114949050205,0.3496683861459101,0.3356669123065586,0.7165856678733104,0.31189611336154244,1.2278888888888888,2.188972222222222,uptrend,1,0,haussier,365,0,0,30,,,45.0,82.0,58.0,78.5,50,57.66,False,False,,0,,,,64,4837906974,9309661840,2694820684.380863,5185686583.888006,,52.0,,,
DOGEUSDT,DOGE,Etabli,10,0.10272,39847484.54108,-0.465,44.51243026326623,-0.0013155422603017726,0.10228900000000003,0.11646234999999994,0.43742602890662763,0.12548524844720507,0.11008141347652867,0.19807492004578178,0.7870688354813716,0.09002805555555557,0.11079638888888892,,0,0,neutre,365,0,0,30,,,45.0,48.0,87.5,78.5,50,57.62,False,False,,0,,,,55,15849428424,17462427122,154383646383.7052,170095293126.5791,,90.8,,,
TRXUSDT,TRX,Etabli,8,0.3662,35212530.78996,0.494,79.11126160708362,0.0002857592834078562,0.33781600000000006,0.3026195000000002,0.13615085712273345,0.030321224857400172,0.0,0.36368865897021024,0.09201965756788975,0.28589166666666677,0.3556694444444444,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,45.0,55.0,94.0,78.5,20.0,57.55,False,False,,0,,,,43,34688427562,34688427612,94809201768.77539,94809201906.7302,,100.0,,,
ETCUSDT,ETC,Etabli,59,9.05,1686133.9409,-0.33,51.50560955038414,-0.05535165907810115,8.787400000000003,10.52875,0.44217710606755467,0.1387978142076503,0.09318637274549095,0.18470224657455928,0.7981056826297628,8.079444444444444,9.36361111111111,,0,0,neutre,365,0,0,30,,,45.0,57.0,92.0,68.0,50,57.4,False,False,,0,,,,62,1416050511,1416050511,156559601.6228963,156559601.6228963,210700000.0,100.0,,,
AVAXUSDT,AVAX,Etabli,28,9.4,12294383.39782,0.374,49.78442648188149,-0.03430116794629206,9.400860000000002,11.142964999999998,0.38228958955605113,0.18017159199237373,0.1033365109628217,0.2920294051442619,0.8372434538476615,8.788444444444444,9.973055555555558,double_top_90d|uptrend,1,1,mixte,365,0,0,30,,,45.0,57.0,87.5,78.5,26.7,57.31,False,False,,0,,,,56,4056597234,4354135738,431771961.1772119,463441061.1772119,720000000.0,93.2,134456103,$134M,0.5
TAOUSDT,TAO,Etabli,39,278.1,19707019.44954,-0.856,49.57223938259542,-1.8965611822793165,275.0060000000001,258.35,0.7479605719363527,0.3103746397694524,0.1985590778097982,0.24009679676923462,0.47509154130363374,191.50000000000003,325.5722222222223,downtrend,0,1,baissier,365,0,0,30,,,45.0,73.0,73.0,78.5,25.6,57.17,False,False,,0,🔥 Trending #8 sur CoinGecko,8,,58,2671440355,5845303472,9597491.0,21000000.0,21000000.0,45.7,,,
DEXEUSDT,DEXE,Etabli,81,17.526,5966807.71009,20.305,77.14795825435519,0.30255453293466794,12.143760000000002,6.121774999999997,1.0492622689159943,0.3166955825437075,0.0,1.088802685268095,0.07185460642624972,3.8338611111111103,14.269638888888885,breakout_30d|doji_4h,1,0,haussier,365,0,0,30,,,45.0,73.0,61.0,78.5,50,56.99,False,False,,0,,,,51,818446937,1689475083,46750552.58384035,96504599.33609451,,48.4,,,
UNIUSDT,UNI,Etabli,42,3.375,20545903.70302,-2.315,45.033711078938,-0.0377082629910104,3.3790599999999995,4.511900000000001,0.5703663678309402,0.27399566995429403,0.18811643011787346,1.686443541208287,0.748267274601486,3.1460555555555545,3.9878611111111115,double_top_90d|doji_4h,0,1,baissier,365,0,0,30,,,45.0,64.0,75.5,78.5,26.7,56.5,False,False,,0,,,,56,2143942864,3019621570,635669562.7428479,895304420.0329479,1000000000.0,71.0,1734917195,$1.7B,3.68
ALGOUSDT,ALGO,Etabli,71,0.1145,1940346.1683,1.507,50.044026627063225,-0.0007253787646118676,0.11362399999999999,0.11512749999999997,0.6450895318765737,0.19386227544910176,0.1422155688622755,0.3092637316329982,0.4827616735004889,0.08389166666666667,0.12330277777777779,,0,0,neutre,365,0,0,30,,,45.0,57.0,85.0,68.0,50,56.44,False,False,,0,,,,61,1019983887,1020024344,8917352824.722261,8917706531.550835,10000000000.0,100.0,,,
PAXGUSDT,PAXG,Etabli,43,4560.72,13751471.49637,0.531,45.78398790048848,-2.0578335819085396,4661.392200000001,4641.643950000001,0.2087260943882176,0.18851456373184697,0.16118790754996368,0.14236075475785767,0.29069974418783917,4480.412500000001,5191.151944444444,support_bounce|downtrend,1,1,mixte,365,0,0,30,,,45.0,45.0,89.5,78.5,29.5,56.3,False,False,,0,,,,53,2142623530,2142623530,470301.37,470301.37,,100.0,2144221776,$2.1B,0.4
XLMUSDT,XLM,Etabli,21,0.1523,6701841.4692,2.009,47.03430652296008,-0.00022586363251988519,0.159912,0.19255799999999992,0.4268960242908372,0.19877163595756572,0.14963707426018993,0.6166126759169328,0.7663158518366059,0.14850833333333333,0.17489444444444446,double_top_90d|support_bounce,1,1,mixte,365,0,0,30,,,45.0,46.0,87.5,78.5,30.6,56.22,False,False,,0,,,,53,5106332744,7612315217,33541144069.88254,50001786839.91458,,67.1,,,
DOTUSDT,DOT,Etabli,44,1.265,6474505.55961,-1.095,48.12272451626796,-0.004787258018475868,1.2718400000000003,1.7039949999999997,0.4650203525719853,0.29825616355983164,0.23872519542994589,0.3541745540369375,0.5378364096166319,1.208111111111111,1.5632777777777778,uptrend,1,0,haussier,365,0,0,30,,,45.0,37.0,83.5,78.5,50,55.75,False,False,,0,,,,54,2132218190,2132218190,1685417802.910977,1685417802.910977,2100000000.0,100.0,3000084,$3M,2.84
NEARUSDT,NEAR,Etabli,34,2.454,101344720.8208,3.588,83.84270956906752,0.09505463348605803,1.5075200000000002,1.523094999999999,1.0003600628728317,0.2201342281879195,0.0,1.124394379704098,0.49338705575117797,1.1721666666666666,1.754333333333333,rsi_bearish_divergence|uptrend,1,1,mixte,365,0,0,30,,,45.0,57.0,79.0,78.5,20.0,55.73,False,False,,5,🔥 Trending #3 sur CoinGecko,3,,49,3181803634,3181803720,1296430932.0,1296430967.0,,100.0,,,
QNTUSDT,QNT,Etabli,63,82.05,1612431.16609,-1.441,65.37679503350668,0.5976575958260344,73.83039999999998,74.68184999999998,0.4879584990623124,0.15588161524956098,0.0,0.49186020030550875,0.34846956140580015,63.96583333333332,78.77999999999999,rsi_bearish_divergence|bullish_engulfing_4h,1,1,mixte,365,0,0,30,,,45.0,48.0,100.0,68.0,20.0,55.62,False,False,,0,,,,50,1192994246,1198597973,14544176.164081175,14612493.0,14612493.0,99.5,,,
