symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
DEXEUSDT,DEXE,Etabli,46,35.613,28325613.01938,0.037,59.431989852067524,0.3219275506185877,23.57588,11.120515000000005,1.9805174906616578,0.35214070816940524,0.2574131306381557,1.064514248432198,0.15112078053689332,11.595833333333333,31.30552777777778,doji_4h,0,0,neutre,365,0,0,30,,,45.0,91.0,46.0,78.5,50,60.61,False,False,,0,,,,65,0,,,1662679902,3432196701,46750309.420346804,96504599.33609451,,48.4,,,
ZECUSDT,ZEC,Etabli,15,529.06,106316153.21608,-3.865,57.03218982444044,8.568375386014566,469.23280000000005,382.2017499999999,0.9725897774571994,0.46200671081153305,0.21458265284912548,0.26331651673032785,0.4820361585669587,344.56555555555553,612.9855555555555,,0,0,neutre,365,0,0,30,,,45.0,73.0,73.0,78.5,50,60.07,False,False,,0,,,,64,2,,Volume ×0.3 (épuisement),8873777089,8874600365,16791065.7905448,16792623.6030448,21000000.0,100.0,,,
ARBUSDT,ARB,Etabli,93,0.0896,5478978.63412,3.584,56.22771284436717,0.0011306425552500387,0.08475400000000001,0.11827649999999996,0.6870560736382494,0.49132546842470504,0.37890353920888276,0.5248367424884484,0.6134443928011096,0.07640277777777778,0.1331111111111111,uptrend,1,0,haussier,365,0,0,30,,,45.0,66.0,68.5,78.5,50,58.96,False,False,,0,,,,61,2,,Volume ×0.5 (épuisement),569720537,895387034,6362841042.0,10000000000.0,10000000000.0,63.6,2811315704,$2.8B,1.06
ETHUSDT,ETH,Etabli,2,1830.15,500002567.364898,-3.075,55.529866043524244,16.79905979305986,1742.1681999999998,2195.976050000001,0.47404998700902695,0.3395982426802917,0.22910866149692302,0.38927943957316546,0.8829030239366548,1613.9461111111111,2343.8630555555555,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,57.0,75.5,78.5,50,58.3,False,False,,0,🔥 Trending #12 sur CoinGecko,12,,59,2,,Volume ×0.4 (épuisement),220648583281,220648583281,120682873.2112472,120682873.2112472,,100.0,,,
SOLUSDT,SOL,Etabli,7,74.49,98783848.51872,-2.231,45.471236723142596,-0.5493370087772081,73.66820000000003,90.61435000000004,0.5226430011456639,0.361199548115436,0.23487727226044985,0.21707968728876015,0.8283762984138884,67.06722222222221,90.17638888888887,uptrend,1,0,haussier,365,0,0,30,,,45.0,57.0,75.5,78.5,50,58.3,False,False,,0,🔥 Trending #13 sur CoinGecko,13,,59,3,,Volume ×0.2 (épuisement),43369400942,46940729758,582517269.8388447,630485668.4434934,,92.4,,,
LINKUSDT,LINK,Etabli,19,8.176,13818810.96538,-3.185,54.37653012530413,0.08086011952833402,7.956220000000003,9.453459999999998,0.4442840341379799,0.3282649253731344,0.23703358208955225,0.27370198454335976,0.828844271634491,7.448277777777777,10.066583333333332,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,57.0,75.5,78.5,50,58.3,False,False,,0,,,,59,2,,Volume ×0.3 (épuisement),6113862387,8172520557,748099970.424884,1000000000.0,1000000000.0,74.8,,,
UNIUSDT,UNI,Etabli,39,3.511,12427362.99631,-3.887,61.568397303443284,0.019056518584662147,3.0102600000000006,3.6726349999999983,0.6111046758138442,0.40010015022533807,0.1206810215322985,0.3193665511775871,0.5314901337185692,2.614416666666666,3.7016944444444437,,0,0,neutre,365,0,0,30,,,45.0,57.0,73.0,78.5,50,58.15,False,False,,0,,,,59,2,,Volume ×0.3 (épuisement),2195366921,3132871026,625553561.5538775,892688420.0329479,1000000000.0,70.1,1475293270,$1.5B,0.52
ONDOUSDT,ONDO,Etabli,44,0.3654,31925882.87929,-1.056,62.76210266693538,0.006118565991315125,0.34268200000000015,0.31628550000000016,0.6865220700031055,0.3172459597077706,0.19039185299977854,0.864955312056784,0.28260616637102653,0.26996388888888895,0.4182194444444445,rsi_bearish_divergence|downtrend,0,2,baissier,365,0,0,30,,,45.0,82.0,67.0,78.5,0,57.79,False,False,,1,🔥 Trending #7 sur CoinGecko,7,,55,2,,Divergence RSI baissière,1791627080,3679411422,4869330647.0,10000000000.0,10000000000.0,48.7,2560897241,$2.6B,0.35
JSTUSDT,JST,Etabli,75,0.09797,2140151.081931,-0.082,62.43097634658492,-3.526630326243854e-05,0.0876096,0.0668272,0.3526892843649978,0.2377463626044783,0.044394575080495643,0.27206740982210315,0.07596284758159494,0.07667916666666669,0.0974227777777778,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,73.0,94.0,68.0,28.6,57.0,False,False,,0,,,,62,7,🔴 Sortie,Volume ×0.3 (épuisement)|Près du plus haut 90j (résistance)|MACD cross baissier,835307729,835307729,8543764567.312736,8543764567.312736,9900000000.0,100.0,3195105103,$3.2B,-5.38
AAVEUSDT,AAVE,Etabli,56,90.38,12734191.05471,-4.167,51.653133870375235,-0.546437083359844,80.707,107.52259999999997,0.8575524146699215,0.40323054331864905,0.11541850220264323,0.28276186458404373,0.5597032618652477,67.49194444444446,98.43861111111109,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,57.0,73.0,78.5,28.6,56.87,False,False,,0,,,,54,5,⚠️ Surveiller,Volume ×0.3 (épuisement)|MACD cross baissier,1371934662,1446052834,15179911.874935383,16000000.0,16000000.0,94.9,13358754160,$13.4B,7.01
