symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
XVSUSDT,XVS,Mid,428,3.27,486559.6038,-1.506,63.027291438138775,0.008037283877496582,2.8954000000000004,2.761200000000001,0.5015197508123187,0.1294964028776978,0.0060975609756097615,2.3467693926560784,0.5243561889634515,2.479166666666667,3.1269444444444447,macd_bullish_cross|squeeze_breakout|bullish_engulfing_4h,3,0,haussier,365,0,0,30,,,31.0,100.0,100.0,47.0,74.5,80,47.31,26,🟢 Surperforme BTC,False,False,,0,,,,80,2,,Près du plus haut 90j (résistance),54763807,96594272,16863891.85690009,29745107.91704284,30000000.0,56.7,1326615704,$1.3B,6.08
WOOUSDT,WOO,Speculative,765,0.01236,2841647.294932,5.551,60.96050167177945,9.095398369698828e-05,0.0116012,0.015020850000000004,0.6177750563293962,0.2562455389007851,0.11705924339757309,26.26912452650274,0.739406714770191,0.010679722222222222,0.01332111111111111,macd_bullish_cross|squeeze_breakout|uptrend,3,0,haussier,365,0,0,30,,,17.0,84.0,65.0,68.0,71.3,79,35.26,25,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×26.3 vs médiane,,26.27,79,0,,,23434236,23434236,1888782088.2947378,1888782088.294737,3000000000.0,100.0,3399604,$3M,-5.71
TUSDT,T,Mid,445,0.00459,2353547.643204,6.993,61.1983266796138,8.916034834742444e-05,0.0036593999999999993,0.004968650000000002,1.5840593608854958,0.4000000000000001,0.15,5.96059468105846,0.11110468207310055,0.0033122222222222225,0.004475000000000001,macd_bullish_cross|double_bottom_90d|uptrend,3,0,haussier,365,0,0,30,,,31.0,84.0,46.0,68.0,68.7,76,43.48,22,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×6.0 vs médiane,,5.96,76,0,,,51413237,51413237,11155000000.0,11155000000.0,,100.0,360801367,$361M,3.65
METUSDT,MET,Mid,247,0.2098,1971862.1671,10.654,56.245125299886375,-0.0026285229911296414,0.18085599999999996,0.15839649999999994,1.0583699716500945,0.3246346555323591,0.1493877551020408,2.272445220904922,0.40962517001399,0.12140000000000001,0.2106361111111111,bullish_engulfing_4h,1,0,haussier,298,0,0,30,,,29.2,100.0,62.5,68.0,58.4,76,44.52,22,🟢 Surperforme BTC,False,False,,0,,,,76,1,,,117665840,213262963,550490265.600089,997733796.708871,1000000000.0,55.2,208919811,$209M,-3.53
GMXUSDT,GMX,Mid,310,8.25,659666.52189,10.887,66.05336553833155,0.005047093750054493,6.880999999999999,6.506849999999998,0.7157286070229392,0.1543909348441926,0.0,2.368540516566583,0.5302573882098546,5.500277777777779,7.518055555555557,macd_bullish_cross|resistance_test|squeeze_breakout|uptrend|bullish_engulfing_4h,4,1,haussier,365,0,0,30,,,31.0,91.0,89.5,57.5,65.5,76,45.9,22,🟢 Surperforme BTC,False,False,,0,,,,76,2,,Près du plus haut 90j (résistance),85808261,85808261,10455481.4019936,10455481.63780485,13250000.0,100.0,206287836,$206M,0.69
NOMUSDT,NOM,Speculative,,0.00183,7622081.04837,-3.684,62.13599120692734,2.0617752913321752e-05,0.0015836000000000003,0.0024829500000000003,0.9699306261259926,0.3648648648648649,0.18018018018018025,5.239206381527741,0.2786504524427028,0.0014188888888888897,0.0018666666666666662,macd_bullish_cross,1,0,haussier,341,0,0,30,,,16.3,84.0,67.0,78.5,55.8,76,34.84,22,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×5.2 vs médiane,,5.24,76,0,,,,,,,,,,,
BOMEUSDT,BOME,Mid,394,0.0009261,8964211.1660484,6.07,52.628917900958314,-2.825316270262469e-05,0.0007619380000000001,0.0005347369999999998,1.7838593314424904,0.3204614251820338,0.2426572854454716,4.786917712194031,0.41311454045243556,0.0004028777777777778,0.0010308333333333333,doji_4h,0,0,neutre,365,0,0,30,,,31.0,100.0,52.0,78.5,50,75,45.48,21,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.8 vs médiane,,4.79,75,1,,,63949705,63949705,68999659569.0,68999659569.0,68999659569.0,100.0,,,
NMRUSDT,NMR,Mid,383,9.46,3609597.9431,3.842,62.15315949357912,0.04252713922070728,8.760599999999998,8.556899999999997,0.45030241016695116,0.2432692307692308,0.09134615384615395,1.5894571990641542,0.3578296063946529,8.221944444444441,10.031388888888888,rsi_bearish_divergence|squeeze_breakout,1,1,mixte,365,0,0,30,,,31.0,100.0,100.0,68.0,40.2,74,46.93,20,🟢 Surperforme BTC,False,False,,0,,,,74,2,,Divergence RSI baissière,65506503,100149620,6933473.274202416,10600240.83667392,11000000.0,65.4,,,
SAHARAUSDT,SAHARA,Speculative,608,0.00942,42579870.24698,2.838,62.931420932696234,0.00016125944440139873,0.008315,0.019070499999999987,0.7674734344458917,0.607219827586207,0.49299568965517243,40.34780822992249,0.36720979003265525,0.007720833333333334,0.014838055555555554,uptrend,1,0,haussier,365,0,0,30,,,17.0,84.0,59.5,78.5,55.2,74,34.8,20,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×40.4 vs médiane,,40.35,74,0,,,34416895,94040585,3659791667.0,10000000000.0,10000000000.0,36.6,,,
1000CATUSDT,1000CAT,Speculative,,0.002233,7502958.6917177,-3.708,62.460848260554435,3.283356423414785e-05,0.00166366,0.0016750150000000017,1.6351762483758514,0.24999999999999994,0.12151002752654354,4.691889943496037,0.31228876098139896,0.001271666666666667,0.002001694444444444,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,84.0,64.0,78.5,55.8,74,35.11,20,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.7 vs médiane,,4.69,74,0,,,,,,,,,,,
