symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d,outperf_prob_7d,bull_prob_7d_legacy,score_model,market_regime,alt_index_30d,alt_index_90d
RENDERUSDT,RENDER,Etabli,78,1.992,8958915.92273,1.374,72.96351852472984,0.05086711269477384,1.4691400000000001,1.6637999999999997,0.8267168888002322,0.22387136672850966,0.0,1.2454272765173782,0.7226512110727412,1.293166666666667,1.6868055555555557,rsi_bearish_divergence|downtrend,0,2,baissier,365,0,0,30,,,45.0,66.0,81.5,78.5,20.6,57.0,62.76,4.7,≈ Neutre vs BTC,False,False,,0,,,,57.0,6,⚠️ Surveiller,RSI 73 (surachat)|Près du plus haut 90j (résistance)|Divergence RSI baissière,1035853543,1065325551,518776241.28269154,533536414.5626915,644245094.0,97.2,,,,57.0,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ENSUSDT,ENS,Mid,155,7.12,1561324.5934,-1.657,69.01600395770662,0.09933783347355174,5.517799999999999,5.426500000000001,0.7888968913740811,0.1684665226781857,0.008344923504867941,0.4964604184444386,0.7124493820739946,4.040555555555555,6.435000000000001,golden_cross,1,0,haussier,365,0,0,30,,,31.0,64.0,81.5,68.0,61.7,55.9,60.14,3.6,≈ Neutre vs BTC,False,False,,0,,,,55.9,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),300717609,713020372,42175177.73143091,100000000.0,100000000.0,42.2,,,,55.9,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
LINKUSDT,LINK,Etabli,13,14.29,59787932.28398,1.405,69.2713173214747,0.18406822808887463,11.24458,9.361775000000002,0.7695414685369668,0.1772840625708456,0.0,0.8201335354720635,0.7425155230670288,7.800416666666668,12.636555555555557,,0,0,neutre,365,0,0,30,,,45.0,73.0,81.5,78.5,50,55.8,67.1,3.5,≈ Neutre vs BTC,False,False,,0,,,,55.8,2,,Près du plus haut 90j (résistance),10666942431,14258712542,748099970.424884,1000000000.0,1000000000.0,74.8,,,,55.8,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WIFUSDT,WIF,Mid,168,0.2496,3858472.065986,2.463,64.37647558693513,0.004521309764053863,0.19044999999999998,0.17945249999999993,1.1502012121367875,0.256986301369863,0.021534847298355538,0.5807611532050388,0.7547119948352659,0.13850833333333334,0.22540555555555553,downtrend,0,1,baissier,365,0,0,30,,,31.0,82.0,59.0,68.0,34.4,55.6,59.69,3.3,≈ Neutre vs BTC,False,False,,0,,,,55.6,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),249539742,249539742,998926392.0,998926392.0,998926392.0,100.0,,,,55.6,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
SOLUSDT,SOL,Etabli,7,121.25,380959147.31523,0.265,67.96200276689143,1.140315649230315,97.73599999999999,84.82444999999996,0.6655077579041022,0.12618411464658733,0.007286123618501846,0.5076096775429381,0.8286578677019877,73.4013888888889,110.35861111111112,downtrend,0,1,baissier,365,0,0,30,,,45.0,73.0,81.5,78.5,34.4,55.4,66.16,3.1,≈ Neutre vs BTC,False,False,,0,,,,55.4,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),71242342272,76945882992,587712781.3442552,634763981.6589092,,92.6,,,,55.4,58,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BNSOLUSDT,BNSOL,Speculative,,137.3,794999.4184,0.439,68.15176713467591,1.2884762961048972,110.31000000000002,94.76199999999996,0.6636558247658492,0.12052117263843642,0.00724112961622013,0.3960089333483111,0.8338105578557097,82.43055555555554,124.98611111111111,,0,0,neutre,365,0,0,30,,,17.0,64.0,81.5,57.5,50,55.2,55.09,2.9,≈ Neutre vs BTC,False,False,,0,,,,55.2,4,⚠️ Surveiller,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance),,,,,,,,,,55.2,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
KAIAUSDT,KAIA,Mid,182,0.0346,665029.80241,-1.425,68.23869961142589,0.000568834840569857,0.02930999999999999,0.0390005,0.704879563010203,0.38781163434903043,0.038781163434903,0.44126292017751945,0.7130815347277768,0.025399999999999995,0.03514166666666667,downtrend|doji_4h,0,1,baissier,365,0,0,30,,,31.0,48.0,69.5,57.5,34.4,55.2,48.88,2.9,≈ Neutre vs BTC,False,False,,0,,,,55.2,4,⚠️ Surveiller,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance),223445384,223446930,6429001073.466644,6429093437.355023,,100.0,,,,55.2,49,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AXLUSDT,AXL,Mid,404,0.0535,425083.006118,1.134,67.61783557651677,0.0006970265029372581,0.042565999999999986,0.04820450000000002,0.7464189137113356,0.20273348519362183,0.007407407407407363,0.6510547412662796,0.7114764538705965,0.03614444444444445,0.048266666666666666,,0,0,neutre,365,0,0,30,,,31.0,57.0,81.5,47.0,50,55.1,55.19,2.8,≈ Neutre vs BTC,False,False,,0,,,,55.1,2,,Près du plus haut 90j (résistance),66659621,67250276,1244434333.4010599,1255471294.356708,,99.1,154113006,$154M,1.95,55.1,57,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ETCUSDT,ETC,Etabli,63,9.55,6851809.6905,-1.036,67.16287272801137,0.15511754789338678,7.554799999999999,7.809549999999997,0.8179731455368988,0.1658932714617168,0.0,1.2161282045087023,0.6981736429960622,6.358333333333333,8.538055555555555,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,45.0,66.0,89.5,78.5,36.2,54.9,65.63,2.6,≈ Neutre vs BTC,False,False,,0,,,,54.9,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,1514255065,1514255065,158288790.7027552,158289223.9571552,210700000.0,100.0,,,,54.9,58,ml_gb+alt_blend,Altseason en formation,83.0,64.3
PEPEUSDT,PEPE,Etabli,56,4.41e-06,33076952.08082549,-3.712,60.21050555507698,6.583062489080215e-08,3.5367999999999997e-06,3.3324500000000006e-06,1.100024002937698,0.21359223300970884,0.11823647294589168,0.36854702499463443,0.7552253588657337,2.5555555555555553e-06,4.174166666666666e-06,downtrend,0,1,baissier,365,0,0,30,,,45.0,73.0,66.5,78.5,34.4,54.6,62.54,2.3,≈ Neutre vs BTC,False,False,,0,,,,54.6,2,,Volume ×0.4 (épuisement),1855005611,1855005611,420690000000000.0,420690000000000.0,420690000000000.0,100.0,,,,54.6,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
HBARUSDT,HBAR,Etabli,31,0.09407,13764311.30903,-1.714,64.987733951065,0.0015570669626790283,0.07690200000000001,0.08153810000000002,0.703611758314303,0.16353991460732306,0.050454086781029174,0.5395550247388158,0.677312932109107,0.06629444444444445,0.08537916666666666,downtrend,0,1,baissier,365,0,0,30,,,45.0,66.0,89.5,78.5,34.4,54.5,65.52,2.2,≈ Neutre vs BTC,False,False,,0,,,,54.5,2,,Volume ×0.5 (épuisement),4125111184,4705624675,43831706398.47965,50000000000.0,50000000000.0,87.7,,,,54.5,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WOOUSDT,WOO,Speculative,799,0.01344,194080.919826,3.067,66.31178431933867,0.00024366837199936873,0.0114486,0.014476500000000002,0.7142589374705829,0.20092024539877293,0.0,0.5633034728595336,0.7358138677916735,0.010575555555555555,0.012935277777777776,uptrend,1,0,haussier,365,0,0,30,,,17.0,57.0,81.5,47.0,60.8,54.0,52.33,1.7,≈ Neutre vs BTC,False,False,,0,,,,54.0,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),25412046,25412046,1888782088.2947378,1888782088.294737,3000000000.0,100.0,4116756,$4M,1.16,54.0,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
POLYXUSDT,POLYX,Mid,436,0.0459,1029251.32297,2.227,69.63377267511068,0.0005428406558353718,0.035688,0.04172800000000001,0.6690414585355907,0.2650918635170604,0.0,2.586824293672313,0.6790450926256616,0.03057222222222223,0.04123611111111111,rsi_bearish_divergence|uptrend|doji_4h,1,1,mixte,365,0,0,30,,,31.0,75.0,77.5,68.0,47.0,53.8,62.34,1.5,≈ Neutre vs BTC,False,False,,0,,,,53.8,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,60812665,60812665,1322409659.408604,1322409659.408604,,100.0,,,,53.8,65,ml_gb+alt_blend,Altseason en formation,83.0,64.3
